SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"26459","41309","1","2017","Normal","Friends","Modern day","Music","Andrea's Musical Duet","X","41309-1","9.99","8.99","12.99","9.99","02/01/2017 00:00:00","28/11/2017 00:00:00","86","1","frnd0190,","Box","Retail","6174652","6174644","","673419265027","15.6972","14.097","4.4958","0.1270058","","","","5","12","1229","394","2","8","X","3","10.3000","8.5700","Ricardo Silva,","01/01/2017 00:00:00","31/12/2017 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"26461","41311","1","2017","Normal","Friends","Modern day","Heartlake City","Heartlake Pizzeria","X","41311-1","29.99","24.99","29.99","29.99","02/01/2017 00:00:00","03/01/2019 00:00:00","289","2","frnd0182,frnd0183,","Box","Retail","6174657","6174656","","673419265041","28.194","26.2128","5.8928","0.4989512","","","","6","12","3633","895","2","10","X","7","45.7100","15.9000","Ola Mirecka,","01/01/2017 00:00:00","31/12/2018 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27719","41332","1","2018","Normal","Friends","Modern day","Art","Emma's Art Stand","X","41332-1","19.99","17.99","24.99","19.99","01/01/2018 00:00:00","26/08/2019 00:00:00","210","1","frnd0238,","Box","Retail","6210094","6210091","5702016077438","673419280020","26.2","19.1","6.1","0.32","","","","6","12","2446","488","2","8","X","0","22.6500","9.7000","","01/01/2018 00:00:00","31/12/2019 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"31018","41439","1","2021","Normal","Friends","Modern day","Traffic","Cat Grooming Car","X","41439-1","9.99","8.99","13.99","9.99","02/01/2021 00:00:00","18/11/2022 00:00:00","60","2","frnd0349,frnd0423,","Box","Retail","6332880","6332347","5702016911503","","14","12","6","0.119","","","","4","","1683","225","2","9","X","0","9.3500","5.6000","","01/01/2021 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27855","41451","1","2018","Normal","Unikitty","Licensed","","Unikitty Cloud Car","X","41451-1","9.99","12.99","12.99","14.99","01/08/2018 00:00:00","23/03/2020 00:00:00","126","3","uni01,uni05,uni06,","Box","Retail","6213835","6213834","5702016111743","673419283205","15.7","14.1","4.5","0.14","","","","5","12","1741","320","2","4","X","0","13.5000","8.2000","","01/06/2018 00:00:00","31/12/2019 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27856","41452","1","2018","Normal","Unikitty","Licensed","","Prince Puppycorn Trike","X","41452-1","9.99","12.99","12.99","14.99","01/08/2018 00:00:00","24/03/2020 00:00:00","101","3","uni15,uni17,uni23,","Box","Retail","6213839","6213840","5702016111750","673419283212","15.7","14.1","4.5","0.15","","","","5","12","1472","300","2","4","X","3","5.0000","5.0000","","01/06/2018 00:00:00","31/12/2019 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27538","41487","1","2017","Normal","BrickHeadz","Licensed","Ninjago","Lloyd","X","41487-1","9.99","9.99","12.99","9.99","24/09/2017 00:00:00","07/09/2018 00:00:00","102","","","Box","Retail - limited","6215562","6230092","5702016198980","673419286909","9.1","12.2","7.8","","7","4","1","10","","3141","1072","2","3","X","0","40.2400","18.4600","","01/10/2017 00:00:00","31/12/2017 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"23942","41528","1","2015","Normal","Mixels","Miscellaneous","Series 4","Niksput","X","41528-1","4.99","2.99","5.99","3.99","03/02/2015 00:00:00","16/07/2015 00:00:00","62","","","Foil pack","Retail","6102015","6102014","5702015356121","673419233095","13.0048","18.0086","1.4986","0.05","","","","6","","4100","419","4","2","X","7","13.4100","5.4300","Andy Seenan,Gemma Anderson,","01/02/2015 00:00:00","31/05/2015 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27787","41619","1","2018","Normal","BrickHeadz","Licensed","Star Wars","Darth Vader","X","41619-1","9.99","9.99","12.99","9.99","11/07/2018 00:00:00","09/03/2019 00:00:00","104","","","Box","Retail","6225364","6225363","5702016176605","673419292665","9.1","12.2","7.8","","","","","10","","7375","2355","2","4","X","28","32.4500","19.0200","","01/07/2018 00:00:00","31/12/2018 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"27788","41620","1","2018","Normal","BrickHeadz","Licensed","Star Wars","Stormtrooper","X","41620-1","9.99","9.99","12.99","9.99","11/07/2018 00:00:00","05/01/2019 00:00:00","124","","","Box","Retail","6225366","6225365","5702016176612","673419292672","9.1","12.2","7.8","","","","","10","","6880","2371","2","4","X","14","46.4500","32.7500","Chris Perron,","01/07/2018 00:00:00","31/12/2018 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32329","41694","1","2022","Normal","Friends","Modern day","Traffic","Pet Clinic Ambulance","X","41694-1","9.99","8.99","13.99","9.99","01/03/2022 00:00:00","15/11/2022 00:00:00","54","2","frnd0420,frnd0425,","Box","Retail","6371113","6371112","5702017115153","","14.1","12.2","4.6","","","","","4","","766","152","2","5","X","0","7.5100","4.3700","","01/03/2022 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"33716","41720","1","2022","Normal","Friends","Modern day","Summer","Water Park","X","41720-1","49.99","54.99","64.99","59.99","26/07/2022 00:00:00","01/03/2024 00:00:00","373","3","frnd0555,frnd0556,frnd0557,","Box","Retail","6379100","6379077","5702017154954","673419357357","48","28.2","6.1","","16","32","20","6","","452","305","2","13","X","0","36.9900","","Ann Healy,","01/06/2022 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"34128","41728","1","2023","Normal","Friends","Modern day","Heartlake City","Heartlake Downtown Diner","X","41728-1","29.99","24.99","39.99","29.99","16/11/2022 00:00:00","29/11/2024 00:00:00","346","3","frnd0583,frnd0612,frnd0613,","Box","Retail","6425645","6425644","5702017415048","673419374255","35.4","19.1","5.9","","11","19","11","","","1011","359","4","10","X","5","18.8500","18.0000","Ann Healy,Tom Gerardin,","01/01/2023 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"34353","41742","1","2023","Normal","Friends","Modern day","Heartlake City","Cat Hotel","X","41742-1","29.99","24.99","39.99","29.99","03/12/2022 00:00:00","05/02/2024 00:00:00","445","2","frnd0569,frnd0608,","Box","{Not specified}","6431217","6431216","5702017432656","673419377638","26.2","22.2","7.6","","13","23","12","","","611","399","2","8","X","0","33.1200","33.0000","David Tauzia,","01/01/2023 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"34185","41743","1","2023","Normal","Friends","Modern day","Heartlake City","Hair Salon","X","41743-1","39.99","39.99","49.99","44.99","16/11/2022 00:00:00","19/01/2024 00:00:00","401","3","frnd0588,frnd0589,frnd0590,","Box","{Not specified}","6430863","6430862","5702017432175","673419378789","38.2","26.2","5.7","","14","25","9","","","672","261","2","10","X","0","31.3000","15.0000","","01/01/2023 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"45479","41745","1","2023","Normal","Friends","Modern day","Horseback Riding","Autumn's Horse Stable","X","41745-1","59.99","57.99","79.99","62.99","19/05/2023 00:00:00","29/11/2024 00:00:00","545","2","frnd0620,frnd0621,","Box","Retail","6425683","6425682","5702017415284","673419374385","48","28.2","6.1","","19","28","14","7","","540","293","5","10","X","0","58.5000","34.0000","David Tauzia,","01/06/2023 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"34309","41751","1","2023","Normal","Friends","Modern day","Sports","Skate Park","X","41751-1","49.99","44.99","64.99","49.99","03/12/2022 00:00:00","01/03/2024 00:00:00","431","3","frnd0614,frnd0615,frnd0616,","Box","Retail","6425699","6425698","5702017415338","673419374439","48","28.2","6.1","","11","32","16","","","342","269","2","10","X","0","32.3100","24.0000","","01/01/2023 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"45488","41760","1","2023","Normal","Friends","Modern day","Holiday","Igloo Holiday Adventure","X","41760-1","49.99","44.99","64.99","49.99","02/06/2023 00:00:00","29/11/2024 00:00:00","491","3","frnd0664,frnd0665,frnd0666,","Box","Retail","6440285","6440284","5702017463513","673419380898","38.2","26.2","5.7","","10","14","13","8","","844","379","4","4","X","0","38.3400","23.0000","","01/09/2023 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30766","42116","1","2021","Normal","Technic","Technical","","Skid Steer Loader","X","42116-1","9.99","8.99","13.99","9.99","02/01/2021 00:00:00","14/11/2022 00:00:00","140","","","Box","Retail","6327705","6327656","5702016889215","","15.7","14.1","7.1","","14","9","6","7","","3935","417","3","13","X","10","9.4900","5.3200","","01/01/2021 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"30770","42122","1","2021","Normal","Technic","Technical","Licensed","Jeep Wrangler","X","42122-1","49.99","44.99","69.99","49.99","02/01/2021 00:00:00","01/03/2024 00:00:00","665","","","Box","Retail","6332736","6332735","5702016913316","673419340052","38.2","26.2","7.1","","12","24","13","9","","7974","1145","2","19","X","18","47.2500","29.3700","","01/01/2021 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"48761","42601","1","2024","Normal","Friends","Modern day","Pets","Hamster Playground","X","42601-1","19.99","17.99","24.99","19.99","03/12/2023 00:00:00","02/12/2024 00:00:00","167","2","frnd0599,frnd0691,","Box","Retail","6474638","6474637","5702017600239","673419393621","26.2","19.1","6.1","0.311","18","11","9","6","","528","339","2","9","X","5","22.7300","11.6400","Theo Bonner,","01/01/2024 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"48437","42603","1","2024","Normal","Friends","Modern day","Space","Stargazing Camping Vehicle","X","42603-1","29.99","24.99","39.99","29.99","03/12/2023 00:00:00","03/11/2025 00:00:00","364","2","frnd0656,frnd0730,","Box","Retail","6470669","6470668","5702017585192","673419390101","35.4","19.1","7","","11","9","6","7","","789","367","4","9","X","4","20.0300","8.0600","Bas Brederode,","01/01/2024 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"48446","42613","1","2024","Normal","Friends","Modern day","Traffic","Heartlake City Hospital Ambulance","X","42613-1","34.99","29.99","44.99","34.99","03/12/2023 00:00:00","25/11/2024 00:00:00","344","3","frnd0687,frnd0726,frnd0727,","Box","Retail","6470683","6470682","5702017589336","673419390279","26.2","22.2","6.2","","14","9","8","","","226","210","2","8","X","0","23.9900","25.0000","","01/01/2024 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
