SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"1795","375","2","1978","Normal","Castle","Historical","Classic","Castle","X","375-2","","","","","","","767","14","cas081a,cas082a,cas083a,cas084a,cas085a,cas086a,cas087a,cas088a,","Box","Retail - limited","","","","","","","","","","","","","","2830","1599","0","0","X","126","883.4100","443.9700","Daniel August Krentz,","","","X","","1","1","0","0","1","","","","","","","","","HOME"
"2146","4485","1","2003","Normal","Star Wars","Licensed","Mini Building Set","Sebulba's Podracer & Anakin's Podracer","X","4485-1","4","3.99","","","","","72","","","Blister pack","Retail","4186193","4184334","5702014260306","673419017367","11","14.4","4.4","","","","","","","6918","1566","1","2","X","103","14.1100","7.6300","","01/01/2003 00:00:00","31/12/2003 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"5034","6206","1","2006","Normal","Star Wars","Licensed","Episode VI","TIE Interceptor","X","6206-1","19.99","17.99","","","","","212","1","sw0035b,","Box","Retail","4284994","4279458","5702014467682","673419078917","28.8","28.8","6","0.45","","","","","","10082","3717","2","3","X","165","91.2000","37.0200","","01/01/2006 00:00:00","31/07/2007 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"3815","7146","1","2001","Normal","Star Wars","Licensed","Episode IV","TIE Fighter","X","7146-1","20","17.99","","","","","171","2","sw0035,sw0036,","Box","Retail","1033562","1033562","5702012012563","042884071462","19.2","28.8","7.2","","","","","","","8500","2858","1","0","X","68","165.0300","42.0700","Henrik Andersen,","01/01/2001 00:00:00","31/12/2002 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"6498","8028","1","2008","Normal","Star Wars","Licensed","Mini Building Set","TIE Fighter","X","8028-1","4.99","","","","","","44","","","Polybag","Promotional","4631521","6020175","5702014955295","673419153782","14","14","1.2","","","","","6","12","9124","1473","4","1","X","37","5.9800","2.9900","","01/01/2008 00:00:00","31/12/2013 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"28591","10267","1","2019","Normal","Creator Expert","Model making","Winter Village Collection","Gingerbread House","X","10267-1","99.99","84.99","139.99","89.99","01/10/2019 00:00:00","29/10/2021 00:00:00","1477","2","hol168,hol169,","Box","LEGO exclusive","6250893","6250892","5702016368284","","47.8","27.8","8.8","1.448","21","26","13","12","","16788","3862","4","24","X","12","132.6900","115.6900","Florian Müller,Tiago Catarino,","01/10/2019 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30317","10275","1","2020","Normal","Icons","Model making","Winter Village Collection","Elf Club House","X","10275-1","99.99","79.99","139.99","89.99","24/09/2020 00:00:00","15/10/2022 00:00:00","1197","4","hol203,hol204,hol205,hol206,","Box","LEGO exclusive","6294067","6294066","5702016668025","","47.6","28","7.2","1.324","","","","18","","16459","2916","5","32","X","9","117.7100","95.3200","Chris McVeigh,","01/10/2020 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30970","10281","1","2021","Normal","Icons","Model making","Botanical Collection","Bonsai Tree","X","10281-1","49.99","44.99","69.99","49.99","02/01/2021 00:00:00","03/11/2025 00:00:00","878","","","Box","Retail","6332928","6332925","5702016914177","673419340533","26.2","38.2","7.1","0.76","18","21","20","18","","27701","3462","13","12","X","25","40.5100","30.9500","Nick Vas,","01/01/2021 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"31844","10293","1","2021","Normal","Icons","Model making","Winter Village Collection","Santa's Visit","X","10293-1","99.99","89.99","139.99","99.99","17/09/2021 00:00:00","01/03/2024 00:00:00","1445","4","hol254,hol255,hol256,hol368,","Box","LEGO exclusive","6332956","6332954","5702016914313","673419340328","47.9","28","8.7","1.656","19","27","16","18","","15479","2602","15","13","X","0","109.4100","91.6500","Chris McVeigh,","01/10/2021 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32127","10298","1","2022","Normal","Icons","Model making","Vehicles","Vespa 125","X","10298-1","99.99","89.99","129.99","99.99","01/03/2022 00:00:00","03/11/2025 00:00:00","1106","","","Box","LEGO exclusive","6379758","6379757","5702017151861","673419355667","48","28.2","9.1","","22","35","12","18","","8321","2069","10","11","X","0","69.4200","46.2000","Florian Müller,","01/03/2022 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32129","10300","1","2022","Normal","Icons","Model making","Back to the Future","Back to the Future Time Machine","X","10300-1","199.99","169.99","249.99","199.99","02/04/2022 00:00:00","03/11/2025 00:00:00","1872","2","btf001,btf002,","Box","LEGO exclusive","6379765","6379764","5702017153186","673419355681","48","28.2","11.8","","12","35","19","18","","14331","4305","8","12","X","20","187.8900","106.9600","","01/04/2022 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32134","10305","1","2022","Normal","Icons","Model making","Castle System","Lion Knights' Castle","X","10305-1","399.99","344.99","499.99","399.99","26/07/2022 00:00:00","03/11/2025 00:00:00","4514","22","cas559,cas560,cas561,cas562,cas563,cas564,cas565,cas566,cas567,cas568,cas569,cas570,cas571,cas572,cas573,cas574,cas575,cas576,cas577,cas578,cas579,gen099,","Box","LEGO exclusive","6379783","6379782","5702017153261","673419355766","52.3","48","21.8","","38","44","33","18","","11570","6063","14","7","X","20","368.0100","348.8400","Carl Merriam,Mike Psiaki,Milan Madge,","03/08/2022 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32135","10306","1","2022","Normal","Icons","Model making","Gaming","Atari 2600","X","10306-1","239.99","209.99","299.99","239.99","26/07/2022 00:00:00","04/12/2024 00:00:00","2532","1","twn444,","Box","LEGO exclusive","6379787","6379786","5702017153278","673419355773","58.2","48","12.4","","33","22","8","18","","5047","2227","7","14","X","0","192.7200","118.3300","Chris McVeigh,","01/08/2022 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32137","10308","1","2022","Normal","Icons","Model making","Winter Village Collection","Holiday Main Street","X","10308-1","99.99","89.99","129.99","99.99","23/09/2022 00:00:00","25/11/2024 00:00:00","1514","6","hol286,hol287,hol288,hol289,hol290,hol291,","Box","LEGO exclusive","6379794","6379793","5702017153285","673419355780","47.8","28","8.8","1.738","10","17","7","18","","12027","2219","29","12","X","5","112.9900","98.6300","Florian Müller,Pierre Normandin,","03/10/2022 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32138","10309","1","2022","Normal","Icons","Model making","Botanical Collection","Succulents","X","10309-1","49.99","44.99","69.99","49.99","15/04/2022 00:00:00","03/11/2025 00:00:00","771","","","Box","Retail","6385788","6385787","5702017189185","673419361620","38","26","5.3","0.683","13","17","17","18","","13682","2545","21","9","X","18","58.4800","40.9400","Florian Müller,","01/05/2022 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"47098","10323","1","2023","Normal","Icons","Model making","Gaming","PAC-MAN Arcade","X","10323-1","269.99","229.99","349.99","269.99","23/05/2023 00:00:00","03/11/2025 00:00:00","2651","1","twn465,","Box","LEGO exclusive","6426514","6426513","5702017416946","673419375559","58.2","48","12.4","","32","25","17","18","","3922","2568","10","10","X","5","216.8300","194.3000","","01/06/2023 00:00:00","31/07/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"48337","10325","1","2023","Normal","Icons","Model making","Winter Village Collection","Alpine Lodge","X","10325-1","99.99","89.99","129.99","99.99","20/09/2023 00:00:00","02/11/2025 00:00:00","1517","5","hol326,hol327,hol328,hol329,hol330,","Box","LEGO exclusive","6426516","6426515","5702017416953","673419375566","47.8","28","11.7","1.745","21","24","16","18","","8823","2357","14","14","X","0","102.8900","88.8000","Antica Bracanov,Chris McVeigh,","01/10/2023 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"48467","10328","1","2024","Normal","Icons","Model making","Botanical Collection","Bouquet of Roses","X","10328-1","59.99","54.99","79.99","59.99","05/12/2023 00:00:00","03/11/2025 00:00:00","822","","","Box","Retail","6470462","6470461","5702017583488","673419388665","26.2","38.2","7.1","0.703","","","","18","","7313","1828","27","7","X","4","35.3000","26.6300","Kenyon Brady,","01/01/2024 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"48611","10329","1","2024","Normal","Icons","Model making","Botanical Collection","Tiny Plants","X","10329-1","49.99","44.99","69.99","49.99","28/10/2023 00:00:00","03/11/2025 00:00:00","758","","","Box","Retail","6465042","6465041","5702017567570","673419387507","38","26","5.6","0.716","16","10","6","18","","10001","2064","21","7","X","5","36.6000","28.5100","Theo Bonner,","01/12/2023 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"48469","10331","1","2024","Normal","Icons","Model making","Miscellaneous","Kingfisher","X","10331-1","49.99","44.99","69.99","49.99","10/01/2024 00:00:00","03/11/2025 00:00:00","834","","","Box","Retail","6474624","6474623","5702017599564","673419394215","38.2","26.2","5.7","","21","31","17","18","","4497","1523","10","7","X","5","41.4700","33.2500","","01/02/2024 00:00:00","31/07/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"48567","10332","1","2024","Normal","Icons","Model making","Castle System","Medieval Town Square","X","10332-1","229.99","199.99","299.99","229.99","09/02/2024 00:00:00","20/10/2025 00:00:00","3304","8","cas582,cas583,cas584,cas585,cas586,cas587,cas588,cas589,","Box","LEGO exclusive","6471387","6471386","5702017589893","673419390040","55.5","37.8","13.2","3.535","25","36","12","18","","6520","4080","9","14","X","0","201.2600","181.6600","Henrik Rubin Saaby,","01/03/2024 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"48946","10334","1","2024","Normal","Icons","Model making","Miscellaneous","Retro Radio","X","10334-1","99.99","89.99","129.99","99.99","10/05/2024 00:00:00","03/11/2025 00:00:00","906","","","Box","LEGO exclusive","6470466","6470465","5702017583501","673419388689","38.2","26.2","9.4","","32","23","7","18","","2179","1563","9","10","X","0","85.4300","65.0000","","01/06/2024 00:00:00","31/07/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"48950","10339","1","2024","Normal","Icons","Model making","Winter Village Collection","Santa's Post Office","X","10339-1","99.99","89.99","129.99","99.99","25/09/2024 00:00:00","03/11/2025 00:00:00","1440","5","hol362,hol363,hol364,hol365,hol366,","Box","LEGO exclusive","6471396","6471394","5702017589930","673419390484","45.4","28.1","10.5","1.651","21","28","10","18","","5754","1813","14","13","X","0","91.7200","84.8400","","01/10/2024 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"49175","10341","1","2024","Normal","Icons","Model making","Space","NASA Artemis Space Launch System","X","10341-1","259.99","219.99","339.99","259.99","26/04/2024 00:00:00","03/11/2025 00:00:00","3601","","","Box","{Not specified}","6471400","6471399","5702017589954","673419390507","37.8","55.5","15.7","","70","27","30","18","","2738","3040","9","8","X","0","227.8400","209.0000","Hans Burkhard Schlömer,","15/05/2024 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50740","10343","1","2025","Normal","Botanicals","Model making","Botanical Collection","Mini Orchid","X","10343-1","29.99","24.99","39.99","29.99","14/11/2024 00:00:00","03/11/2025 00:00:00","274","","","Box","Retail","6526161","6526159","5702017814643","673419404235","19.1","26.2","6.1","0.349","","","","18","","5735","1683","7","8","X","0","29.1500","10.8000","Wes Talbott,","01/01/2025 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"50741","10344","1","2025","Normal","Botanicals","Model making","Botanical Collection","Lucky Bamboo","X","10344-1","29.99","24.99","39.99","29.99","14/11/2024 00:00:00","03/11/2025 00:00:00","325","","","Box","Retail","6526164","6526162","5702017814650","673419404242","19.1","26.2","6.1","0.363","","","","18","","5677","1621","7","8","X","0","27.3000","15.0000","Wes Talbott,","01/01/2025 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51133","10349","1","2025","Normal","Botanicals","Model making","Botanical Collection","Happy Plants","X","10349-1","22.99","17.99","24.99","19.99","23/04/2025 00:00:00","03/11/2025 00:00:00","217","","","Box","Retail","6526171","6526170","5702017814681","673419404266","26.2","14.1","4.8","0.278","","","","9","","2971","1562","32","9","X","0","16.9000","","Aaron Newman,Pernille Ravn,","01/06/2025 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"48954","10370","1","2024","Normal","Icons","Model making","Botanical Collection","Poinsettia","X","10370-1","49.99","44.99","64.99","49.99","30/08/2024 00:00:00","03/11/2025 00:00:00","608","","","Box","Retail","6509396","6509288","5702017747682","673419401050","28","26","7.6","0.656","21","22","17","18","","4870","1537","7","7","X","0","43.1100","34.5100","Ann Healy,","01/10/2024 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"23428","10671","1","2014","Normal","Juniors","Junior","City","Fire Emergency","X","10671-1","19.99","15.99","24.99","19.99","24/10/2014 00:00:00","04/12/2015 00:00:00","123","2","cty0507,cty0508,","Box","Retail - limited","6061886","6061885","5702015125369","673419211727","26.1874","19.1008","7.1882","0.36","","","","4","7","1383","286","2","7","X","5","13.0000","27.1400","Jonathan Robson,","01/06/2014 00:00:00","31/12/2015 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"23076","10675","1","2014","Normal","Juniors","Junior","City","Police – The Big Escape","X","10675-1","29.99","24.99","29.99","29.99","18/02/2014 00:00:00","27/11/2015 00:00:00","146","3","cop054,cop055,jail005,","Box","Retail","6061897","6061896","5702015125604","673419211765","28.194","26.1874","5.8928","0.48","","","","4","7","1105","314","2","8","X","0","89.2700","9.7500","","01/01/2014 00:00:00","31/12/2015 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"24003","10680","1","2015","Normal","Juniors","Junior","City","Garbage Truck","X","10680-1","19.99","15.99","24.99","19.99","01/03/2015 00:00:00","08/11/2016 00:00:00","99","2","twn231,twn232,","Box","Retail","6101007","6101006","5702015354264","673419232159","26.2128","19.1008","6.096","0.33596","","","","4","7","1405","459","2","7","X","4","16.0400","8.6600","","01/01/2015 00:00:00","31/12/2016 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"24486","10683","1","2015","Normal","Juniors","Junior","City","Road Work Truck","X","10683-1","19.99","15.99","24.99","19.99","18/05/2015 00:00:00","16/11/2016 00:00:00","132","2","con009,con010,","Box","Retail","6101018","6101016","5702015354295","673419232173","26.2128","19.1008","6.096","0.35866","","","","4","7","1311","419","2","7","X","4","56.9700","8.5800","","01/06/2015 00:00:00","31/12/2016 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"23825","10692","1","2015","Normal","Classic","Basic","Creative Building","Creative Bricks","X","10692-1","16.99","12.99","19.99","14.99","01/01/2015 00:00:00","29/12/2022 00:00:00","221","","","Plastic box","Retail","6101959","6101958","5702015355704","673419232890","18.0086","16.4084","18.0086","0.4490561","","","","4","99","4579","332","5","6","X","11","13.4200","8.0100","","01/01/2015 00:00:00","31/12/2022 00:00:00","X","","3","3","0","0","1","","","","","","","","",""
"23827","10694","1","2015","Normal","Classic","Basic","Creative Building","Creative Supplement Bright","X","10694-1","19.99","17.99","24.99","19.99","01/01/2015 00:00:00","04/12/2017 00:00:00","303","","","Box","Retail","6101965","6101963","5702015355728","673419232913","26.2128","19.1008","7.2136","0.4762716","","","","4","99","1844","341","3","7","X","5","10.0000","14.9600","","01/01/2015 00:00:00","31/12/2017 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27665","10713","1","2018","Normal","Classic","Basic","Miscellaneous","Creative Suitcase","X","10713-1","19.99","17.99","24.99","19.99","01/01/2018 00:00:00","03/11/2025 00:00:00","213","","","Plastic box","Retail","6213581","6213580","5702016111330","673419282895","28.5","26.2","6.4","0.84","26","28","6","4","99","2770","250","4","13","X","3","8.1200","9.2900","","01/01/2018 00:00:00","31/12/2027 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"28940","10767","1","2019","Normal","Disney","Licensed","Toy Story 4","Duke Caboom's Stunt Show","X","10767-1","19.99","15.99","24.99","19.49","22/04/2019 00:00:00","27/02/2021 00:00:00","120","2","toy016,toy026,","Box","Retail","6250755","6250756","5702016367720","","26.2","19.1","6.1","","","","","4","","2674","604","2","4","X","4","19.2000","13.1900","","22/04/2019 00:00:00","31/07/2020 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"8101","20018","1","2010","Normal","Star Wars","Licensed","Episode V","AT-AT Walker","X","20018-1","","","","","","","83","","","Polybag","LEGO exclusive","4562592","","","673419128940","","","","","","","","7","","2081","2082","0","0","X","4","33.6300","14.7500","","","","X","","1","1","0","0","1","","","","","","","","","SAS"
"24664","21028","1","2016","Normal","Architecture","Model making","Skylines","New York City","X","21028-1","59.99","44.99","74.99","49.99","02/01/2016 00:00:00","03/11/2025 00:00:00","598","","","Box","Retail - limited","6135673","6135672","5702015591218","673419247160","26.2","19.1","6.1","0.72","26","25","4","12","","15538","2829","4","5","X","31","41.8200","21.6500","Rok Zgalin Kobe,","01/01/2016 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"26417","21034","1","2017","Normal","Architecture","Model making","Skylines","London","X","21034-1","39.99","34.99","49.99","39.99","02/01/2017 00:00:00","03/11/2025 00:00:00","468","","","Box","Retail - limited","6174060","6174059","5702015865333","673419264419","26.2","19.1","6.1","0.62","15","28","8","12","","18606","2481","4","3","X","20","33.1300","14.7500","Rok Zgalin Kobe,","01/01/2017 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"27907","21042","1","2018","Normal","Architecture","Model making","Landmark Series","Statue of Liberty","X","21042-1","119.99","89.99","149.99","99.99","02/06/2018 00:00:00","03/11/2025 00:00:00","1685","","","Box","Retail - limited","6213419","6213418","5702016111859","673419283328","19.1","35.4","11.8","1.44","44","14","14","16","","13424","3136","9","5","X","8","70.7900","50.2800","Rok Zgalin Kobe,","01/06/2018 00:00:00","31/07/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"28503","21043","1","2019","Normal","Architecture","Model making","Skylines","San Francisco","X","21043-1","49.99","44.99","69.99","49.99","02/01/2019 00:00:00","12/11/2021 00:00:00","565","","","Box","Retail","6250897","6250896","5702016368307","","26.2","19.1","6.1","","16","28","7","12","","9970","2405","10","5","X","9","74.9500","58.7000","Rok Zgalin Kobe,","01/01/2019 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"28502","21044","1","2019","Normal","Architecture","Model making","Skylines","Paris","X","21044-1","49.99","44.99","69.99","49.99","02/01/2019 00:00:00","03/11/2025 00:00:00","649","","","Box","Retail","6250900","6250898","5702016368314","673419302470","26.2","19.1","7.2","","22","28","11","12","","11389","2249","13","5","X","9","41.5500","24.7400","Rok Zgalin Kobe,","01/01/2019 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32220","21057","1","2022","Normal","Architecture","Model making","Skylines","Singapore","X","21057-1","59.99","54.99","79.99","59.99","02/01/2022 00:00:00","31/01/2025 00:00:00","827","","","Box","Retail","6379807","6379806","5702017152332","673419355858","26.2","19.1","11.8","","16","28","9","18","","5615","1410","7","6","X","0","54.8700","35.6700","Rok Zgalin Kobe,","01/01/2022 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"23633","21113","1","2014","Normal","Minecraft","Licensed","Minifig-scale","The Cave","X","21113-1","19.99","19.99","24.99","19.99","16/11/2014 00:00:00","07/11/2017 00:00:00","249","2","min009,min010,","Box","Retail - limited","6092417","6092412","5702015296526","673419222242","26.2128","19.1008","7.2136","0.4445201","","","","8","","7597","1243","2","2","X","31","42.4900","12.3300","Max Valembois,","01/11/2014 00:00:00","31/12/2016 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"24202","21119","1","2015","Normal","Minecraft","Licensed","Minifig-scale","The Dungeon","X","21119-1","19.99","19.99","24.99","19.99","02/08/2015 00:00:00","25/11/2017 00:00:00","219","3","min009,min010,","Box","Retail","6102219","6102218","","673419233613","26.2128","19.1008","6.096","0.4263765","19","17","9","8","","4948","1201","2","2","X","13","34.9900","12.9600","Carl Merriam,","01/08/2015 00:00:00","31/12/2017 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27510","21141","1","2018","Normal","Minecraft","Licensed","Minifig-scale","The Zombie Cave","X","21141-1","19.99","19.99","24.99","19.49","01/01/2018 00:00:00","21/11/2020 00:00:00","241","3","min010,min016,min057,","Box","Retail","6212474","6212473","5702016109597","673419281539","26.2","19.1","6.1","0.39","11","19","14","7","14","3742","778","2","8","X","5","23.5600","12.3200","Max Valembois,","01/01/2018 00:00:00","31/12/2020 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"28379","21148","1","2019","Normal","Minecraft","Licensed","BigFig Series 1","Minecraft Steve BigFig with Parrot","X","21148-1","14.99","12.99","19.99","14.99","02/01/2019 00:00:00","24/01/2020 00:00:00","159","","","Box","Retail","6251772","6251771","5702016370560","673419304320","14.1","19.1","4.6","0.17","","","","7","","1890","583","2","4","X","0","37.6800","18.6000","Max Valembois,Robert Heim,","01/01/2019 00:00:00","31/12/2019 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"28380","21149","1","2019","Normal","Minecraft","Licensed","BigFig Series 1","Minecraft Alex BigFig with Chicken","X","21149-1","14.99","12.99","19.99","14.99","02/01/2019 00:00:00","11/01/2020 00:00:00","160","","","Box","Retail","6251774","6251773","5702016370874","673419304337","14.1","19.1","4.6","0.17","","","","7","","1641","579","2","4","X","5","28.8700","10.2200","Max Valembois,Robert Heim,","01/01/2019 00:00:00","31/12/2019 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"28382","21151","1","2019","Normal","Minecraft","Licensed","Minifig-scale","The End Battle","X","21151-1","19.99","19.99","24.99","19.99","02/01/2019 00:00:00","04/02/2022 00:00:00","222","2","min066,min067,","Box","Retail","6251778","6251777","5702016370898","673419304450","26.2","19.1","6.1","0.38","23","13","9","7","","4532","735","3","4","X","5","30.0000","18.2100","Joe Kyde,","01/01/2019 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"29337","21154","1","2019","Normal","Minecraft","Licensed","Minifig-scale","The Blaze Bridge","X","21154-1","29.99","39.99","39.99","39.99","02/08/2019 00:00:00","15/11/2021 00:00:00","372","4","min025,min070,min071,","Box","Retail","6251784","6251783","5702016370928","","35.4","19.1","7","","11","25","13","8","","2383","765","2","4","X","0","36.6900","26.3800","Joe Kyde,","01/08/2019 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"29338","21155","1","2019","Normal","Minecraft","Licensed","Minifig-scale","The Creeper Mine","X","21155-1","79.99","79.99","99.99","79.99","02/08/2019 00:00:00","08/07/2021 00:00:00","834","4","min009,min012,min072,min073,","Box","Retail","6251786","6251785","5702016370935","","54","28.2","9.1","","22","38","22","8","","1872","964","2","5","X","0","103.6100","65.0300","Joe Kyde,","01/08/2019 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"29484","21156","1","2020","Normal","Minecraft","Licensed","BigFig Series 2","BigFig Creeper and Ocelot","X","21156-1","14.99","12.99","19.99","14.61","02/01/2020 00:00:00","03/12/2020 00:00:00","184","","","Box","Retail","6288704","6288703","5702016618235","673419319003","14.1","19.1","4.6","0.16","","","","7","","1930","603","2","4","X","5","24.9900","15.2600","Jeremy Luettgen,","01/01/2020 00:00:00","31/12/2020 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"29486","21158","1","2020","Normal","Minecraft","Licensed","Minifig-scale","The Panda Nursery","X","21158-1","19.99","17.99","24.99","19.99","02/01/2020 00:00:00","26/12/2022 00:00:00","204","1","min017,","Box","Retail","6288708","6288707","5702016618259","673419319027","26.2","19.1","6.1","0.32","19","9","8","7","","3658","738","2","5","X","4","26.0600","15.8000","Jeremy Luettgen,","01/01/2020 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"29490","21162","1","2020","Normal","Minecraft","Licensed","Minifig-scale","The Taiga Adventure","X","21162-1","9.99","8.99","13.99","9.99","02/01/2020 00:00:00","09/02/2022 00:00:00","74","2","min011,min074,","Box","Retail","6288716","6288715","5702016618297","673419319065","14.1","12.2","4.6","0.1","9","9","3","7","","4173","702","2","4","X","24","13.6900","7.2900","","01/01/2020 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"34318","21246","1","2023","Normal","Minecraft","Licensed","Minifig-scale","The Deep Dark Battle","X","21246-1","64.99","59.99","84.99","64.99","03/12/2022 00:00:00","10/12/2024 00:00:00","584","3","min147,min148,min149,","Box","Retail","6425593","6425592","5702017415819","673419374811","38.2","26.2","7.1","","","","","8","","1233","690","3","8","X","3","66.0400","47.1300","Joe Kyde,","01/01/2023 00:00:00","31/12/2024 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"48899","21265","1","2024","Normal","Minecraft","Licensed","Microscale","The Crafting Table","X","21265-1","89.99","79.99","119.99","89.99","02/06/2024 00:00:00","03/11/2025 00:00:00","1195","6","min182,min183,min184,min185,min186,min187,","Box","Retail","6470616","6470615","5702017583419","673419388597","26.2","38.2","9.4","","14","15","15","18","","1802","1000","7","7","X","5","62.9000","49.9300","Isaac Snyder,","01/08/2024 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"51388","21276","1","2025","Normal","Minecraft","Licensed","Buildable Figures","The Creeper","X","21276-1","39.99","34.99","49.99","39.99","03/05/2025 00:00:00","03/11/2025 00:00:00","665","1","min222,","Box","Retail","6526793","6526792","5702017815503","673419404761","22.2","26.2","7.6","","","","","10","","680","628","2","10","X","0","41.2800","","Aron Gerencser,","01/06/2025 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"27802","21313","1","2018","Normal","Ideas","Miscellaneous","","Ship in a Bottle","X","21313-1","69.99","69.99","89.99","69.99","02/02/2018 00:00:00","02/02/2020 00:00:00","962","","","Box","Retail - limited","6222979","6222977","5702016173161","","38.2","26.2","7.1","","","","","12","","16326","3867","10","7","X","32","107.5200","65.9900","Samuel Johnson,Tiago Catarino,","01/02/2018 00:00:00","31/12/2019 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"29153","21317","1","2019","Normal","Ideas","Miscellaneous","Licensed","Steamboat Willie","X","21317-1","89.99","79.99","119.99","87.72","01/04/2019 00:00:00","28/11/2020 00:00:00","751","2","idea049,idea050,","Box","Retail - limited","6273247","6273246","5702016501995","","28.2","26.2","9.6","","15","26","14","10","","11494","3421","10","32","X","23","123.4200","75.2700","John Ho,Samuel Johnson,","01/04/2019 00:00:00","31/12/2020 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
